Column,Data Type,Non-null Count,Null Count,Unique Count,Min Value,Max Value,Mean Value,Standard Deviation
id,int64,8949,0,8949,3884.0,9.812491246238612e+17,3.2114310119961165e+17,4.000084810851276e+17
listing_url,object,8949,0,8949,,,,
scrape_id,int64,8949,0,1,20230917033704.0,20230917033704.0,20230917033704.0,4.812768907328459
last_scraped,object,8949,0,1,,,,
source,object,8949,0,2,,,,
name,object,8949,0,6728,,,,
description,object,8785,164,7599,,,,
neighborhood_overview,object,4904,4045,3126,,,,
picture_url,object,8949,0,8627,,,,
host_id,int64,8949,0,3180,3128.0,537229454.0,167351187.56397364,176419787.71341082
host_url,object,8949,0,3180,,,,
host_name,object,8949,0,1383,,,,
host_since,object,8949,0,2144,,,,
host_location,object,7025,1924,191,,,,
host_about,object,5259,3690,1479,,,,
host_response_time,object,7860,1089,4,,,,
host_response_rate,object,7860,1089,47,,,,
host_acceptance_rate,object,8284,665,92,,,,
host_is_superhost,object,8637,312,2,,,,
host_thumbnail_url,object,8949,0,3048,,,,
host_picture_url,object,8949,0,3048,,,,
host_neighbourhood,object,8197,752,132,,,,
host_listings_count,int64,8949,0,68,0.0,2562.0,21.958878086937087,72.03353543000918
host_total_listings_count,int64,8949,0,83,0.0,5324.0,36.49726226394011,219.17105206925825
host_verifications,object,8949,0,6,,,,
host_has_profile_pic,object,8949,0,2,,,,
host_identity_verified,object,8949,0,2,,,,
neighbourhood,object,4904,4045,236,,,,
neighbourhood_cleansed,object,8949,0,52,,,,
neighbourhood_group_cleansed,float64,0,8949,0,,,,
latitude,float64,8949,0,5334,49.94783,50.17057,50.08092779582749,0.017055755021368135
longitude,float64,8949,0,6193,14.271417,14.68416,14.430210273944143,0.032768794690381214
property_type,object,8949,0,60,,,,
room_type,object,8949,0,4,,,,
accommodates,int64,8949,0,16,1.0,16.0,3.9293775840876077,2.4927110244385133
bathrooms,float64,0,8949,0,,,,
bathrooms_text,object,8933,16,34,,,,
bedrooms,float64,7030,1919,15,1.0,34.0,1.5687055476529161,1.166121769006697
beds,float64,8833,116,26,1.0,50.0,2.612815577946338,2.4581605182880364
amenities,object,8949,0,8040,,,,
price,object,8949,0,3121,,,,
minimum_nights,int64,8949,0,63,1.0,1115.0,4.971952173427199,32.49003485337998
maximum_nights,int64,8949,0,128,1.0,9000.0,590.4642976868923,464.4126117639846
minimum_minimum_nights,int64,8949,0,61,1.0,1115.0,4.425857637724885,29.191994773305268
maximum_minimum_nights,int64,8949,0,66,1.0,1115.0,9.641747681305175,41.22128840944161
minimum_maximum_nights,int64,8949,0,97,1.0,3333.0,693.1077215331322,471.729637066484
maximum_maximum_nights,int64,8949,0,97,1.0,3333.0,751.941222482959,451.1846841968295
minimum_nights_avg_ntm,float64,8949,0,231,1.0,1115.0,6.159526204045145,32.29720713589268
maximum_nights_avg_ntm,float64,8949,0,298,1.0,3333.0,734.003173538943,450.83676605351786
calendar_updated,float64,0,8949,0,,,,
has_availability,object,8949,0,2,,,,
availability_30,int64,8949,0,31,0.0,30.0,9.895183819421165,9.295138884747674
availability_60,int64,8949,0,61,0.0,60.0,25.925466532573473,19.882824174619607
availability_90,int64,8949,0,91,0.0,90.0,43.062465079897194,30.871715477076524
availability_365,int64,8949,0,366,0.0,365.0,159.06849927366187,132.81515896807437
calendar_last_scraped,object,8949,0,1,,,,
number_of_reviews,int64,8949,0,499,0.0,1693.0,63.2587998659068,99.57996195033468
number_of_reviews_ltm,int64,8949,0,121,0.0,385.0,17.71605766007375,23.47583503116848
number_of_reviews_l30d,int64,8949,0,19,0.0,23.0,1.4965917979662533,2.1064948961807004
first_review,object,8066,883,2585,,,,
last_review,object,8066,883,932,,,,
review_scores_rating,float64,8066,883,146,0.0,5.0,4.6851946441854695,0.43698685707452084
review_scores_accuracy,float64,8050,899,132,1.0,5.0,4.744090683229813,0.37309995619687125
review_scores_cleanliness,float64,8050,899,164,1.0,5.0,4.682228571428571,0.41526192615776614
review_scores_checkin,float64,8050,899,133,1.0,5.0,4.78567453416149,0.3410687468578371
review_scores_communication,float64,8051,898,129,1.0,5.0,4.791786113526271,0.3562757525943111
review_scores_location,float64,8050,899,124,1.0,5.0,4.773448447204969,0.3100109350677
review_scores_value,float64,8050,899,136,1.0,5.0,4.66484099378882,0.3825344346235532
license,float64,0,8949,0,,,,
instant_bookable,object,8949,0,2,,,,
calculated_host_listings_count,int64,8949,0,53,1.0,96.0,17.061459380936416,23.84268540758972
calculated_host_listings_count_entire_homes,int64,8949,0,50,0.0,96.0,14.303944574812828,22.710228984569184
calculated_host_listings_count_private_rooms,int64,8949,0,22,0.0,59.0,1.822438261258241,6.639925216740268
calculated_host_listings_count_shared_rooms,int64,8949,0,7,0.0,77.0,0.7803106492345514,7.498502985273686
reviews_per_month,float64,8066,883,782,0.01,27.28,1.9989337961815024,1.9354024183226182
